"Titulo","Ano","Genero"
"Marvel's Luke Cage",2016,"Action"
"Marvel's Luke Cage",2016,"Crime"
"Marvel's Luke Cage",2016,"Drama"
"Marvel's Luke Cage",2016,"Sci-Fi"
"Marvel's Luke Cage",2016,"Thriller"
"GLOW",2017,"Comedy"
"GLOW",2017,"Drama"
"GLOW",2017,"Sport"
"Borgen",2010,"Drama"
"The 4400",2004,"Drama"
"The 4400",2004,"Mystery"
"The 4400",2004,"Sci-Fi"
"The 4400",2004,"Thriller"
"Alias Grace",2017,"Biography"
"Alias Grace",2017,"Crime"
"Alias Grace",2017,"Drama"
"Alias Grace",2017,"Thriller"
"All American",2018,"Drama"
"All American",2018,"Sport"
"Santa Clarita Diet",2017,"Comedy"
"Santa Clarita Diet",2017,"Horror"
"Reign",2013,"Drama"
"Reign",2013,"Fantasy"
"Maniac",2018,"Comedy"
"Maniac",2018,"Drama"
"Maniac",2018,"Sci-Fi"
"Dark Matter",2015,"Adventure"
"Dark Matter",2015,"Drama"
"Dark Matter",2015,"Mystery"
"Dark Matter",2015,"Sci-Fi"
"Dark Matter",2015,"Thriller"
"Star Trek: Voyager",1995,"Action"
"Star Trek: Voyager",1995,"Adventure"
"Star Trek: Voyager",1995,"Sci-Fi"
"Tiger King: Murder, Mayhem and Madness",2020,"Documentary"
"Tiger King: Murder, Mayhem and Madness",2020,"Biography"
"Tiger King: Murder, Mayhem and Madness",2020,"Crime"
"Call the Midwife",2012,"Drama"
"Call the Midwife",2012,"History"
"Queer Eye",2018,"Reality-TV"
"American Vandal",2017,"Comedy"
"American Vandal",2017,"Crime"
"American Vandal",2017,"Drama"
"American Vandal",2017,"Mystery"
"Wynonna Earp",2016,"Action"
"Wynonna Earp",2016,"Drama"
"Wynonna Earp",2016,"Fantasy"
"Wynonna Earp",2016,"Mystery"
"Wynonna Earp",2016,"Thriller"
"Wynonna Earp",2016,"Western"
"Marvel's The Defenders",2017,"Action"
"Marvel's The Defenders",2017,"Adventure"
"Marvel's The Defenders",2017,"Crime"
"Marvel's The Defenders",2017,"Fantasy"
"Marvel's The Defenders",2017,"Sci-Fi"
"Colony",2016,"Action"
"Colony",2016,"Adventure"
"Colony",2016,"Drama"
"Colony",2016,"Sci-Fi"
"Heartland",2007,"Drama"
"Heartland",2007,"Family"
"Alone",2015,"Documentary"
"Alone",2015,"Reality-TV"
"Marco Polo",2014,"Adventure"
"Marco Polo",2014,"Drama"
"Marco Polo",2014,"History"
"Wild Wild Country",2018,"Documentary"
"Wild Wild Country",2018,"Crime"
"The Dragon Prince",2018,"Animation"
"The Dragon Prince",2018,"Adventure"
"The Dragon Prince",2018,"Drama"
"The Dragon Prince",2018,"Family"
"The Dragon Prince",2018,"Fantasy"
"The Dragon Prince",2018,"Thriller"
"Locke & Key",2020,"Drama"
"Locke & Key",2020,"Fantasy"
"Locke & Key",2020,"Horror"
"Locke & Key",2020,"Mystery"
"Locke & Key",2020,"Thriller"
"Love",2016,"Drama"
"Love",2016,"Romance"
"One Day at a Time",2017,"Comedy"
"One Day at a Time",2017,"Drama"
"Feel Good",2020,"Comedy"
"Feel Good",2020,"Drama"
"Feel Good",2020,"Romance"
"Fauda",2015,"Action"
"Fauda",2015,"Drama"
