"Titulo","Ano","Genero"
"The Other Lamb",2020,"Mystery"
"The Other Lamb",2020,"Thriller"
"Hello I Must Be Going",2012,"Romance"
"Above and Beyond",2015,"Documentary"
"Valley Girl",2020,"Musical"
"IMAX: Galapagos 3D",1999,"Short"
"Sex Ed",2014,"Romance"
"Nina",2016,"Comedy"
"Nina",2016,"Drama"
"Gemini",2017,"Crime"
"Gemini",2017,"Mystery"
"Lowlife",2017,"Comedy"
"Lowlife",2017,"Crime"
"Lowlife",2017,"Horror"
"Lowlife",2017,"Thriller"
"Donnybrook",2019,"Action"
"Pledge",2019,"Horror"
"Exit Plan",2019,"Drama"
"Exit Plan",2019,"Mystery"
"Wolves",2016,"Drama"
"Wolves",2016,"Sport"
"Premature",2020,"Music"
"Premature",2020,"Romance"
"Black and White",1999,"Action"
"Black and White",1999,"Mystery"
"Black and White",1999,"Thriller"
"The Dinner",2017,"Crime"
"The Dinner",2017,"Drama"
"The Dinner",2017,"Thriller"
"Pit Stop",2013,"Drama"
"Pit Stop",2013,"Romance"
"Mary",2019,"Horror"
"Mary",2019,"Mystery"
"Billie",2020,"Documentary"
"Billie",2020,"History"
"The Housemaid",2016,"Horror"
"The Housemaid",2016,"Romance"
"Good Boy",2020,"Short"
"Beneath the Darkness",2012,"Thriller"
"Trespassers",2019,"Action"
"Trespassers",2019,"Crime"
"The Brink",2019,"Documentary"
"Red Dog",2019,"Documentary"
"Crawlers",2020,"Drama"
"Crawlers",2020,"Fantasy"
"Crawlers",2020,"Mystery"
"Crawlers",2020,"Sci-Fi"
"Crawlers",2020,"Thriller"
"Soldiers of Fortune",2012,"Thriller"
"Joyride",1997,"Comedy"
"Joyride",1997,"Crime"
"Joyride",1997,"Drama"
"The Flood",2019,"History"
"The Flood",2019,"Western"
"Hillbilly",2018,"Horror"
"Pony Express",1953,"History"
"Stairs",2020,"Short"
"Stairs",2020,"Drama"
"Alive and Kicking",2017,"Documentary"
"Alive and Kicking",2017,"History"
"Alive and Kicking",2017,"Music"
"Monogamy",2010,"Romance"
"Delivered",2020,"Drama"
"Into the Deep",1994,"Documentary"
"Into the Deep",1994,"Short"
"A Man Alone",1955,"Romance"
"A Man Alone",1955,"Western"
"My Valentine",2020,"Short"
"My Valentine",2020,"Music"
"Wetlands",2017,"Crime"
"Wetlands",2017,"Thriller"
"Midnight Kiss",2019,"Drama"
"Midnight Kiss",2019,"Fantasy"
"Midnight Kiss",2019,"Mystery"
"Midnight Kiss",2019,"Sci-Fi"
"Midnight Kiss",2019,"Thriller"
"Danger Close",2017,"Documentary"
"Danger Close",2017,"History"
"GameStopped",2021,"Comedy"
"The Assault",2017,"Action"
"The Assault",2017,"Thriller"
"I, Robot",2004,"Mystery"
"Philadelphia",1993,"Drama"
"Good Newwz",2019,"Drama"
"Guns Akimbo",2020,"Crime"
"Invasion of the Body Snatchers",1956,"Drama"
"Suspiria",2018,"Drama"
"Top Secret!",1984,"Crime"
"The Italian Job",1969,"Comedy"
"Boys",2014,"Romance"
"Why Did I Get Married?",2007,"Musical"
"The Grudge",2004,"Mystery"
"The Grudge",2004,"Thriller"
"True Grit",1969,"Adventure"
"Europa Report",2013,"Adventure"
"Pawn Sacrifice",2015,"History"
"Rewind",2019,"Documentary"
"Rewind",2019,"Drama"
"Open Season",2006,"Drama"
"The Hunter",2011,"Thriller"
"SlingShot",2014,"Documentary"
"SlingShot",2014,"Biography"
"SlingShot",2014,"News"
"Macbeth",2015,"War"
"The Phantom of the Opera",1925,"Horror"
"How I Live Now",2013,"Adventure"
"Bad Boys",1983,"Drama"
"Anna",2013,"Drama"
"Anna",2013,"Mystery"
"Anna",2013,"Sci-Fi"
"Starbuck",2011,"Romance"
"02:22",2017,"Romance"
"Piranha",1978,"Sci-Fi"
"Piranha",1978,"Thriller"
"The Double",2011,"Crime"
"The Double",2011,"Drama"
"The Secret of Roan Inish",1994,"Mystery"
"Drug War",2012,"Drama"
"The Messengers",2007,"Mystery"
"When a Stranger Calls",1979,"Mystery"
"Dead End",1937,"Crime"
"Dead End",1937,"Drama"
"Dead End",1937,"Film-Noir"
"Dead End",1937,"Romance"
"The Hitch-Hiker",1953,"Crime"
"The Hitch-Hiker",1953,"Drama"
"The Hitch-Hiker",1953,"Film-Noir"
"The Hitch-Hiker",1953,"Thriller"
"Boy Meets Girl",2015,"Comedy"
"Target Number One",2020,"Action"
"Black Box",2020,"Drama"
"2 Days in New York",2012,"Talk-Show"
"Serena",2014,"History"
"Serena",2014,"Romance"
"Proof",1991,"Romance"
"Outpost",2008,"War"
"Siberia",2018,"Crime"
"Siberia",2018,"Romance"
"Siberia",2018,"Thriller"
"Cyrano de Bergerac",1950,"Adventure"
"Rampage",2009,"Crime"
"Rampage",2009,"Thriller"
"Permanent Midnight",1998,"Biography"
"Permanent Midnight",1998,"Romance"
"Inconceivable",2017,"Drama"
"Parallel",2021,"Horror"
"Mara",2018,"Mystery"
"The Dark",2018,"Drama"
"The Dark",2018,"Fantasy"
"Nocturne",2020,"Drama"
"Nocturne",2020,"Music"
"Juggernaut",1974,"Drama"
"Ronal the Barbarian",2011,"Action"
"Transit",2012,"Action"
"Transit",2012,"Crime"
"Transit",2012,"Thriller"
"Robin Hood",1922,"Family"
"Robin Hood",1922,"Romance"
"Army of One",2016,"Biography"
"Army of One",2016,"Comedy"
"Hostile",2018,"Drama"
"Hostile",2018,"Horror"
"Kabhi Kabhie",1976,"Romance"
"Bhoomi",2017,"Crime"
"Greenfingers",2001,"Drama"
"Gulliver's Travels",1939,"Animation"
"Gulliver's Travels",1939,"Musical"
"Gulliver's Travels",1939,"Romance"
"Amateur Night",2016,"Comedy"
"College",1927,"Drama"
"College",1927,"Sport"
"Casa De Mi Padre",2012,"Documentary"
"The Poison Rose",2019,"Crime"
"The Poison Rose",2019,"Drama"
"The Poison Rose",2019,"Mystery"
"Communion",1989,"Biography"
"Communion",1989,"Sci-Fi"
"Nancy",2018,"Thriller"
"Cowboy",1958,"Western"
"Tarzan",2013,"Animation"
"Tarzan",2013,"Family"
"Body of Evidence",1993,"Thriller"
"Jappeloup",2013,"Action"
"Jappeloup",2013,"Crime"
"Jappeloup",2013,"Thriller"
