Titulo,Ano,Ator
Avatar: The Last Airbender,2005,Mae Whitman
Avatar: The Last Airbender,2005,Jack De Sena
Avatar: The Last Airbender,2005,Dante Basco
Avatar: The Last Airbender,2005,Michaela Jill Murphy
Avatar: The Last Airbender,2005,Mako
Avatar: The Last Airbender,2005,Grey Griffin
Avatar: The Last Airbender,2005,André Sogliuzzo
Avatar: The Last Airbender,2005,Cricket Leigh
Avatar: The Last Airbender,2005,Mark Hamill
Avatar: The Last Airbender,2005,Jennie Kwan
Avatar: The Last Airbender,2005,Olivia Hack
Avatar: The Last Airbender,2005,Greg Baldwin
Avatar: The Last Airbender,2005,Jim Meskimen
Peaky Blinders,2013,Cillian Murphy
Peaky Blinders,2013,Paul Anderson
Peaky Blinders,2013,Helen McCrory
Peaky Blinders,2013,Sophie Rundle
Peaky Blinders,2013,Ned Dennehy
Peaky Blinders,2013,Finn Cole
Peaky Blinders,2013,Ian Peck
Peaky Blinders,2013,Natasha O'Keeffe
Peaky Blinders,2013,Harry Kirton
Peaky Blinders,2013,Joe Cole
Peaky Blinders,2013,Packy Lee
Peaky Blinders,2013,Annabelle Wallis
Peaky Blinders,2013,Kate Phillips
Peaky Blinders,2013,Aimee-Ffion Edwards
Peaky Blinders,2013,Tony Pitts
The Walking Dead,2010,Norman Reedus
The Walking Dead,2010,Melissa McBride
The Walking Dead,2010,Lauren Cohan
The Walking Dead,2010,Josh McDermitt
The Walking Dead,2010,Christian Serratos
The Walking Dead,2010,Danai Gurira
The Walking Dead,2010,Seth Gilliam
The Walking Dead,2010,Andrew Lincoln
The Walking Dead,2010,Ross Marquand
The Walking Dead,2010,Chandler Riggs
The Walking Dead,2010,Jeffrey Dean Morgan
The Walking Dead,2010,Alanna Masterson
The Walking Dead,2010,Khary Payton
The Walking Dead,2010,Steven Yeun
The Walking Dead,2010,Cooper Andrews
Black Mirror,2011,Daniel Lapaine
Black Mirror,2011,Hannah John-Kamen
Black Mirror,2011,Michaela Coel
Black Mirror,2011,Beatrice Robertson-Jones
Black Mirror,2011,Charles Babalola
Black Mirror,2011,Toby Kebbell
Black Mirror,2011,Daniel Kaluuya
Black Mirror,2011,Rory Kinnear
Black Mirror,2011,Hayley Atwell
Black Mirror,2011,Lenora Crichlow
Black Mirror,2011,Daniel Rigby
Black Mirror,2011,Jon Hamm
Black Mirror,2011,Bryce Dallas Howard
Black Mirror,2011,Kelly Macdonald
Black Mirror,2011,Gugu Mbatha-Raw
The Queen's Gambit,2020,Marcin Dorocinski
The Queen's Gambit,2020,Janina Elkin
The Queen's Gambit,2020,Matthew Dennis Lewis
The Queen's Gambit,2020,Russell Dennis Lewis
The Queen's Gambit,2020,Patrick Kennedy
Mindhunter,2017,Jonathan Groff
Mindhunter,2017,Holt McCallany
Mindhunter,2017,Anna Torv
