Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Making a Murderer,2015,,2 Seasons,Netflix,16+,8.6/10,84/100,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime."
Unbelievable,2019,,1 Season,Netflix,18+,8.4/10,84/100,"After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events."
Arrow,2012,,8 Seasons,Netflix,16+,7.5/10,84/100,"Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows."
Sex Education,2019,,3 Seasons,Netflix,18+,8.3/10,84/100,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
Marvel's Jessica Jones,2015,,3 Seasons,Netflix,18+,7.9/10,84/100,"Haunted by a traumatic past, Jessica Jones uses her gifts as a private eye to find her tormentor before he can harm anyone else in Hell's Kitchen."
Sweet Tooth,2021,,1 Season,Netflix,16+,7.9/10,84/100,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector."
Good Girls,2018,,3 Seasons,Netflix,16+,7.8/10,84/100,Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together.
Death Note,2006,,100 min,Netflix,16+,9.0/10,84/100,"Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class."
Gilmore Girls,2000,,7 Seasons,Netflix,16+,8.1/10,84/100,"Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee."
The Legend of Korra,2012,,4 Seasons,Netflix,7+,8.4/10,83/100,A female avatar who can control the elements fights to keep her city safe from the evil forces of both the physical and spiritual worlds.
How to Get Away with Murder,2014,,6 Seasons,Netflix,16+,8.1/10,83/100,"Brilliant criminal defense attorney and law professor Annalise Keating, plus five of her students, become involved in a twisted murder case."
Master of None,2015,,3 Seasons,Netflix,18+,8.3/10,83/100,Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.
Chappelle's Show,2003,,2 Seasons,Netflix,18+,8.7/10,83/100,"The brilliant Dave Chappelle performs blistering stand-up, impressions and sketches that skewer topics like racism, politics, celebrities and sex."
One-Punch Man,2015,,1 Season,Netflix,7+,8.8/10,83/100,"The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression."
Downton Abbey,2010,,6 Seasons,Netflix,16+,8.7/10,83/100,"Exposing the snobbery and machinations of a vanishing class system, this series chronicles events in the lives of the Crawley family and their servants."
Gotham,2014,,5 Seasons,Netflix,16+,7.8/10,83/100,"Long before he was commissioner, rookie cop James Gordon takes on Gotham City crime and corruption to avenge the murder of Bruce Wayne's parents."
Pose,2018,,2 Seasons,Netflix,18+,8.6/10,83/100,"In 1987 New York, LGBTQ ball fixture Blanca starts her own house, soon becoming mother to a gifted dancer and a sex worker in love with a yuppie client."
Bodyguard,2018,,130 min,Netflix,18+,8.1/10,83/100,"Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
Altered Carbon,2018,,2 Seasons,Netflix,18+,8.0/10,83/100,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder."
Ash vs Evil Dead,2015,,,Outra,18+,8.4/10,83/100,
The Sinner,2017,,3 Seasons,Netflix,16+,7.9/10,83/100,"When a young mother inexplicably stabs a stranger to death, a sympathetic detective struggles to unlock the mystery buried in her missing memories."
Our Planet,2019,,1 Season,Netflix,all,9.3/10,82/100,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.
Narcos: Mexico,2018,,2 Seasons,Netflix,18+,8.4/10,82/100,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent."
Shadow and Bone,2021,,1 Season,Netflix,16+,7.7/10,82/100,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
