Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Wildfire,2005,,,Outra,16+,7.6/10,64/100,
A Gifted Man,2011,,,Outra,7+,7.0/10,64/100,
Dance Academy,2010,,,Outra,16+,8.1/10,64/100,
Making the Cut,2020,,,Outra,16+,6.6/10,64/100,
Man vs. Wild,2006,,,Outra,7+,8.1/10,64/100,
Breaking In,2011,,,Outra,16+,7.1/10,64/100,
Bottom,1991,,,Outra,18+,8.2/10,64/100,
Paatal Lok,2020,,,Outra,18+,7.8/10,64/100,
Alpha House,2013,,,Outra,16+,7.6/10,64/100,
NOVA,1974,,,Outra,7+,8.7/10,64/100,
Hustle,2006,,,Outra,16+,8.1/10,64/100,
Doctor Thorne,2016,,,Outra,16+,7.3/10,64/100,
The Royals,2015,,,Outra,16+,7.5/10,64/100,
Fresh Meat,2011,,,Outra,18+,7.8/10,64/100,
The League of Gentlemen,1999,,,Outra,18+,8.4/10,64/100,
American Experience,1988,,,Outra,7+,8.6/10,64/100,
4 Blocks,2017,,,Outra,7+,8.2/10,64/100,
The A Word,2016,,,Outra,18+,7.8/10,63/100,
Small Axe,2020,,,Outra,18+,7.9/10,63/100,
Breathe,2018,,,Outra,18+,8.3/10,63/100,
Panic,2021,,,Outra,16+,6.5/10,63/100,
Survivorman,2004,,,Outra,7+,8.2/10,63/100,
Utopia,2020,,,Outra,,6.7/10,63/100,
Banana Fish,2018,,,Outra,,8.2/10,63/100,
Sonic the Hedgehog,1993,,,Outra,7+,6.8/10,63/100,
Mission: Impossible,1966,,,Outra,7+,7.6/10,63/100,
The Storyteller,1988,,,Outra,,8.9/10,62/100,
Between Two Ferns with Zach Galifianakis,2008,,,Outra,16+,8.4/10,62/100,
Guilt,2016,,,Outra,16+,6.0/10,62/100,
Grounded for Life,2001,,,Outra,16+,7.4/10,62/100,
The Last Tycoon,2016,,,Outra,7+,7.7/10,62/100,
Lore,2017,,,Outra,16+,6.7/10,62/100,
Cops,1989,,,Outra,18+,7.0/10,62/100,
Survivor's Remorse,2014,,,Outra,18+,7.0/10,62/100,
Comrade Detective,2017,,,Outra,18+,7.3/10,62/100,
A Bit of Fry and Laurie,1989,,,Outra,16+,8.3/10,62/100,
Wolfblood,2013,,,Outra,7+,7.6/10,62/100,
Neverland,2011,,,Outra,7+,6.4/10,62/100,
Just Add Magic,2015,,,Outra,7+,8.3/10,62/100,
Malgudi Days,1987,,,Outra,all,9.5/10,62/100,
Dark Shadows,1966,,,Outra,7+,7.5/10,62/100,
The Widow,2019,,,Outra,18+,6.9/10,61/100,
El Cid,2020,,,Outra,16+,6.5/10,61/100,
All or Nothing: Manchester City,2018,,,Outra,all,8.2/10,61/100,
Totally Spies!,2001,,,Outra,7+,7.0/10,61/100,
Underbelly,2008,,,Outra,18+,8.1/10,61/100,
Our Girl,2014,,,Outra,16+,7.7/10,61/100,
DOM,2021,,,Outra,,7.2/10,61/100,
Reading Rainbow,1983,,,Outra,all,8.4/10,61/100,
"Kill Me, Heal Me",2015,,,Outra,16+,8.3/10,61/100,
Ted Bundy: Falling for a Killer,2020,,,Outra,18+,7.9/10,61/100,
"Dr. Quinn, Medicine Woman",1993,,,Outra,7+,6.7/10,60/100,
Z: The Beginning of Everything,2017,,,Outra,7+,7.1/10,60/100,
The Romanoffs,2018,,,Outra,18+,7.0/10,60/100,
Republic of Doyle,2010,,,Outra,16+,7.4/10,60/100,
Inside Edge,2017,,,Outra,18+,8.0/10,60/100,
The Feed,2019,,,Outra,16+,6.3/10,60/100,
The Last Post,2017,,,Outra,18+,7.2/10,60/100,
I Shouldn't Be Alive,2005,,,Outra,7+,8.1/10,60/100,
A French Village,2009,,,Outra,,8.4/10,60/100,
Halo 4: Forward Unto Dawn,2012,,,Outra,16+,6.9/10,60/100,
Four More Shots Please,2019,,,Outra,18+,6.4/10,60/100,
James May: Our Man In Japan,2020,,,Outra,,8.4/10,60/100,
The Lost World,1999,,,Outra,7+,7.2/10,60/100,
All or Nothing: Tottenham Hotspur,2020,,,Outra,16+,8.2/10,59/100,
All or Nothing,2016,,,Outra,18+,8.6/10,59/100,
Appropriate Adult,2011,,,Outra,18+,7.5/10,59/100,
Mr. Bean: The Animated Series,2002,,,Outra,all,6.9/10,59/100,
Picnic at Hanging Rock,2018,,,Outra,16+,6.2/10,59/100,
Frontline,1983,,,Outra,18+,8.6/10,59/100,
Little Women,2017,,,Outra,7+,7.2/10,59/100,
Solos,2021,,,Outra,,5.8/10,59/100,
Earth: Final Conflict,1997,,,Outra,7+,6.2/10,59/100,
The ABC Murders,2018,,,Outra,16+,6.6/10,59/100,
Indian Summers,2015,,,Outra,7+,7.3/10,59/100,
Sea Patrol,2007,,,Outra,7+,7.5/10,59/100,
Inside Men,2012,,,Outra,16+,7.3/10,59/100,
The Backyardigans,2004,,,Outra,7+,7.0/10,59/100,
ReGenesis,2004,,,Outra,18+,7.9/10,59/100,
Ghost Hunters,2004,,,Outra,7+,6.2/10,59/100,
September Mornings,2021,,,Outra,,7.1/10,59/100,
Blood & Treasure,2019,,,Outra,16+,6.7/10,58/100,
Betas,2013,,,Outra,18+,7.0/10,58/100,
The Test: A New Era For Australia's Team,2020,,,Outra,16+,8.9/10,58/100,
Falling Water,2016,,,Outra,16+,6.5/10,58/100,
Made in Heaven,2019,,,Outra,18+,8.3/10,58/100,
Hunting Hitler,2015,,,Outra,16+,7.4/10,58/100,
A Different World,1987,,,Outra,7+,6.9/10,58/100,
Wotakoi: Love is Hard for Otaku,2018,,,Outra,16+,7.6/10,58/100,
Laakhon Mein Ek,2017,,,Outra,16+,8.2/10,58/100,
Dilbert,1999,,,Outra,7+,7.3/10,58/100,
Time Team,1994,,,Outra,all,8.5/10,57/100,
Cagney & Lacey,1982,,,Outra,7+,6.8/10,57/100,
Paradise City,2021,,,Outra,,6.9/10,57/100,
Cyberchase,2002,,,Outra,all,6.8/10,57/100,
The Pale Horse,2020,,,Outra,all,6.1/10,57/100,
Wild Kratts,2011,,,Outra,all,7.7/10,57/100,
Pingu,1986,,,Outra,all,7.4/10,57/100,
Breathe: Into the Shadows,2020,,,Outra,,7.7/10,57/100,
Bubble Guppies,2011,,,Outra,all,6.4/10,57/100,
Clifford the Big Red Dog,2000,,,Outra,all,6.6/10,57/100,
The Reagans,2020,,,Outra,7+,6.5/10,57/100,
Inazuma Eleven,2008,,,Outra,7+,8.0/10,57/100,
Drifters,2013,,,Outra,18+,7.7/10,57/100,
Touching Evil,1997,,,Outra,,7.9/10,57/100,
Thunderbirds,1965,,,Outra,7+,7.9/10,56/100,
Thriller,1960,,87 min,Netflix,,8.2/10,56/100,"When a prank goes wrong, a shy kid from Compton is sent away for murder. Four years later, he’s back and out for revenge on homecoming weekend."
Gortimer Gibbon's Life on Normal Street,2014,,,Outra,all,8.3/10,56/100,
The Bernie Mac Show,2001,,,Outra,7+,7.0/10,56/100,
Dr. G: Medical Examiner,2004,,,Outra,16+,8.4/10,56/100,
David Copperfield,1999,,,Outra,7+,7.7/10,56/100,
Say Yes to the Dress,2007,,,Outra,7+,5.6/10,56/100,
Red Rock,2015,,,Outra,7+,7.7/10,56/100,
Almost Royal,2014,,,Outra,7+,7.3/10,56/100,
Wu-Tang Clan: Of Mics and Men,2019,,,Outra,18+,8.2/10,56/100,
Daniel Tiger's Neighborhood,2012,,,Outra,all,7.4/10,56/100,
Criminal Minds: Suspect Behavior,2011,,,Outra,16+,6.3/10,56/100,
Whites,2010,,,Outra,18+,7.6/10,56/100,
The Slave Hunters,2010,,,Outra,,8.7/10,56/100,
The Devil's Whore,2008,,,Outra,,7.1/10,56/100,
How the States Got Their Shapes,2010,,,Outra,7+,8.1/10,56/100,
One Mississippi,2016,,,Outra,18+,7.4/10,56/100,
Rick Steves' Europe,2000,,,Outra,all,8.5/10,56/100,
Our Mutual Friend,1998,,,Outra,,8.1/10,56/100,
London Kills,2019,,,Outra,16+,6.7/10,55/100,
Hell Girl,2005,,,Outra,18+,7.5/10,55/100,
Grand Blue,2018,,,Outra,18+,7.9/10,55/100,
Cuffs,2015,,,Outra,16+,7.4/10,55/100,
She Was Pretty,2015,,,Outra,,7.7/10,55/100,
Dora the Explorer,2000,,,Outra,all,4.2/10,55/100,
Counting Cars,2012,,,Outra,7+,7.0/10,55/100,
Home and Away,1988,,,Outra,7+,5.1/10,55/100,
Hamish Macbeth,1995,,,Outra,,7.8/10,55/100,
A Very British Coup,1988,,,Outra,18+,8.3/10,55/100,
Titanic,2012,,,Outra,16+,6.0/10,55/100,
Edwardian Farm,2010,,,Outra,,8.8/10,55/100,
Texas Rising,2015,,,Outra,16+,6.7/10,55/100,
"Nu, pogodi!",1969,,,Outra,,8.6/10,55/100,
Oliver Twist,2007,,,Outra,7+,7.4/10,55/100,
World’s Toughest Race: Eco-Challenge Fiji,2020,,,Outra,16+,7.6/10,55/100,
Father Knows Best,1954,,,Outra,all,7.4/10,54/100,
Legend of Earthsea,2004,,,Outra,,5.7/10,54/100,
I Love Dick,2016,,,Outra,16+,6.3/10,54/100,
The Ray Bradbury Theater,1985,,,Outra,,7.5/10,54/100,
Rocco Schiavone,2016,,,Outra,7+,7.6/10,54/100,
WordWorld,2007,,,Outra,all,6.7/10,54/100,
The Collection,2016,,,Outra,18+,7.1/10,54/100,
Beecham House,2019,,,Outra,16+,6.7/10,54/100,
The Twelve Kingdoms,2002,,,Outra,16+,8.1/10,54/100,
The Way We Live Now,2001,,,Outra,16+,7.6/10,54/100,
Land of the Lustrous,2017,,,Outra,16+,8.0/10,54/100,
Rowan & Martin's Laugh-In,1967,,,Outra,7+,8.0/10,54/100,
Super Wings!,2014,,,Outra,all,6.2/10,54/100,
Touched by an Angel,1994,,,Outra,7+,6.0/10,54/100,
The Border,2008,,,Outra,7+,7.0/10,54/100,
Victorian Farm,2009,,,Outra,,8.7/10,54/100,
Crisis in Six Scenes,2016,,,Outra,all,6.6/10,54/100,
American Playboy: The Hugh Hefner Story,2017,,,Outra,18+,7.5/10,54/100,
The Street,2006,,,Outra,18+,8.3/10,54/100,
Tales of the Unexpected,1979,,,Outra,7+,7.7/10,54/100,
Meerkat Manor,2005,,,Outra,,8.3/10,54/100,
My Mother and Other Strangers,2016,,,Outra,16+,7.5/10,54/100,
Charles II: The Power and The Passion,2003,,,Outra,16+,7.5/10,53/100,
Moby Dick,1998,,,Outra,7+,6.5/10,53/100,
A Cook's Tour,2002,,,Outra,16+,8.2/10,53/100,
Beat,2018,,,Outra,18+,7.4/10,53/100,
Long Strange Trip,2017,,,Outra,18+,8.2/10,53/100,
Middlemarch,1994,,,Outra,,7.4/10,53/100,
Wahlburgers,2014,,,Outra,16+,6.8/10,53/100,
Island at War,2004,,,Outra,,7.6/10,53/100,
We Children from Bahnhof Zoo,2021,,,Outra,,6.3/10,53/100,
Kung Fu Panda: The Paws of Destiny,2018,,,Outra,7+,7.6/10,53/100,
The Bold and the Beautiful,1987,,,Outra,16+,3.4/10,53/100,
Lucky Dog,2013,,,Outra,all,8.5/10,53/100,
Team Umizoomi,2010,,,Outra,all,6.0/10,53/100,
GRAND PRIX Driver,2018,,,Outra,7+,7.6/10,53/100,
Gordon Ramsay's Ultimate Cookery Course,2012,,,Outra,,8.4/10,53/100,
Moon Embracing the Sun,2012,,,Outra,7+,8.0/10,53/100,
The Forgotten Army - Azaadi ke liye,2020,,,Outra,18+,8.1/10,53/100,
RahXephon,2002,,,Outra,16+,7.2/10,53/100,
Accidentally on Purpose,2009,,,Outra,7+,6.3/10,52/100,
Hammer House of Horror,1980,,,Outra,18+,7.7/10,52/100,
Rescue: Special Ops,2009,,,Outra,,7.4/10,52/100,
Everest: Beyond the Limit,2006,,,Outra,7+,8.3/10,52/100,
Odd Squad,2014,,,Outra,all,6.5/10,52/100,
Detective Anna,2016,,,Outra,,8.0/10,52/100,
Sarazanmai,2019,,,Outra,7+,7.0/10,52/100,
One Step Beyond,1959,,,Outra,all,7.8/10,52/100,
Everyday Driver,2017,,,Outra,,9.3/10,52/100,
The Island with Bear Grylls,2014,,,Outra,16+,7.4/10,52/100,
Here's Lucy,1968,,,Outra,all,6.9/10,52/100,
Hotel Impossible,2012,,,Outra,7+,7.8/10,52/100,
Zoboomafoo,1999,,,Outra,7+,7.5/10,52/100,
Jessica,2004,,,Outra,16+,7.6/10,52/100,
The Passing Bells,2014,,,Outra,7+,6.9/10,52/100,
Pandora,2019,,137 min,Netflix,7+,4.2/10,52/100,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster."
Luxe Listings Sydney,2021,,,Outra,,6.2/10,52/100,
The Hunger,1997,,,Outra,18+,6.3/10,52/100,
Lorena,2019,,,Outra,18+,7.2/10,52/100,
Harmony with A R Rahman,2018,,,Outra,,9.2/10,52/100,
You Are Wanted,2017,,,Outra,7+,6.0/10,52/100,
The Time of Our Lives,2013,,,Outra,,7.9/10,52/100,
7 Deadly Sins,2014,,,Outra,18+,7.1/10,52/100,
Grace Under Fire,1993,,,Outra,7+,6.4/10,52/100,
Himouto! Umaru-chan,2015,,,Outra,16+,7.0/10,52/100,
Story of Yanxi Palace,2018,,,Outra,,8.2/10,52/100,
The Big Comfy Couch,1993,,,Outra,all,7.2/10,52/100,
David the Gnome,1985,,,Outra,all,7.4/10,52/100,
Free to Choose,1980,,,Outra,,9.1/10,51/100,
All or Nothing: New Zealand All Blacks,2018,,,Outra,16+,8.1/10,51/100,
Teen Mom OG,2009,,,Outra,7+,3.6/10,51/100,
Miami Ink,2005,,,Outra,7+,6.5/10,51/100,
Beowulf: Return to the Shieldlands,2016,,,Outra,7+,5.8/10,51/100,
Cosby,1996,,,Outra,7+,6.3/10,51/100,
The Boarding School: Las Cumbres,2021,,,Outra,,6.5/10,51/100,
Mayday,2013,,,Outra,,6.7/10,51/100,
The Real McCoys,1957,,,Outra,16+,7.6/10,51/100,
I Love Money,2008,,,Outra,,6.1/10,51/100,
Bobby's World,1990,,,Outra,all,7.3/10,51/100,
Leo the Wildlife Ranger,2015,,,Outra,,6.8/10,51/100,
Safe House,2015,,,Outra,18+,6.4/10,51/100,
The Saddle Club,2001,,,Outra,all,6.1/10,51/100,
The Principal,2015,,,Outra,,7.5/10,51/100,
Secret Agent,1965,,,Outra,7+,8.2/10,51/100,
The Vineyard,2021,,,Outra,,7.1/10,51/100,
Tandav,2021,,,Outra,18+,3.8/10,51/100,
James May: Oh Cook!,2020,,,Outra,,7.6/10,51/100,
Amazon,1999,,,Outra,,7.6/10,51/100,
The New Yorker Presents,2016,,,Outra,18+,6.6/10,51/100,
Oddities,2010,,,Outra,7+,8.0/10,51/100,
The Secret World of Nature: Spain,2020,,,Outra,7+,9.6/10,51/100,
Aristocrats,1999,,,Outra,7+,7.3/10,51/100,
Littlest Pet Shop,2012,,,Outra,all,6.2/10,51/100,
Hole in the Wall,2008,,104 min,Netflix,all,3.2/10,51/100,"Diagnosed with colon cancer, a free-spirited man embarks on an illuminating road trip with his son through South Africa."
The Scholar Who Walks the Night,2015,,,Outra,,7.3/10,50/100,
Murder Calls,2017,,,Outra,16+,7.7/10,50/100,
Hitorijime My Hero,2017,,,Outra,,7.1/10,50/100,
Charlie and Lola,2005,,,Outra,all,6.7/10,50/100,
Land of the Lost,1991,,,Outra,all,6.9/10,50/100,
Continuum,2012,,,Outra,,6.5/10,50/100,
Making Their Mark,2021,,,Outra,,8.5/10,50/100,
Frank of Ireland,2021,,,Outra,,6.7/10,50/100,
Where on Earth is Carmen Sandiego?,1994,,,Outra,all,7.3/10,50/100,
Bat Masterson,1958,,,Outra,16+,7.4/10,50/100,
Lillie,1978,,,Outra,,8.1/10,50/100,
Einstein,2017,,,Outra,,6.5/10,50/100,
Féminin/Féminin,2014,,,Outra,16+,8.4/10,50/100,
The Last Place on Earth,1985,,,Outra,,8.2/10,50/100,
Becoming Human,2011,,,Outra,16+,7.4/10,50/100,
The Jury,2002,,,Outra,18+,7.8/10,50/100,
James May's Toy Stories,2009,,,Outra,7+,8.1/10,50/100,
Mamon,2015,,,Outra,,7.4/10,50/100,
Prime Suspect: Tennison,2017,,,Outra,16+,7.5/10,50/100,
Ax Men,2008,,,Outra,7+,5.5/10,50/100,
Inuyashiki Last Hero,2017,,,Outra,,6.6/10,50/100,
On Death Row,2012,,,Outra,16+,8.0/10,50/100,
El Presidente,2020,,,Outra,16+,7.2/10,49/100,
Celebrity Ghost Stories,2009,,,Outra,7+,7.1/10,49/100,
Mike Hammer,1984,,,Outra,7+,6.9/10,49/100,
Bridget & Eamon,2016,,,Outra,16+,7.7/10,49/100,
Secrets of the Castle,2014,,,Outra,,8.6/10,49/100,
Le Mans: Racing is Everything,2017,,,Outra,7+,7.3/10,49/100,
Superheroes: A Never-Ending Battle,2013,,,Outra,7+,8.1/10,49/100,
The Busy World of Richard Scarry,1994,,,Outra,all,7.5/10,49/100,
King of the Road,2016,,,Outra,16+,8.9/10,49/100,
Secret Smile,2005,,,Outra,,6.9/10,49/100,
The Delivery Man,2015,,,Outra,16+,7.2/10,49/100,
Battle 360°,2008,,,Outra,7+,8.4/10,49/100,
This Giant Beast That is the Global Economy,2019,,,Outra,16+,7.8/10,49/100,
LoliRock,2014,,,Outra,all,7.3/10,49/100,
Strange Empire,2014,,,Outra,16+,6.4/10,49/100,
The Greatest Love,2011,,,Outra,16+,7.8/10,49/100,
Cybersix,1999,,,Outra,16+,7.8/10,49/100,
The Dangerous Book for Boys,2018,,,Outra,7+,6.0/10,49/100,
Empresses In The Palace,2011,,,Outra,7+,8.4/10,49/100,
Captain Scarlet and the Mysterons,1967,,,Outra,all,7.8/10,49/100,
Stingray,1964,,,Outra,,7.3/10,49/100,
Survive This,2009,,,Outra,7+,6.7/10,49/100,
Unscripted,2005,,,Outra,,7.3/10,49/100,
Girls' Last Tour,2017,,,Outra,16+,7.7/10,49/100,
Grimoire of Zero,2017,,,Outra,16+,7.0/10,49/100,
After the Rain,2018,,,Outra,18+,7.4/10,49/100,
Gator Boys,2012,,,Outra,,7.0/10,48/100,
The Adventures of Swiss Family Robinson,1998,,,Outra,,7.4/10,48/100,
The Roy Rogers Show,1951,,,Outra,,7.2/10,48/100,
The Ruth Rendell Mysteries,1987,,,Outra,16+,6.8/10,48/100,
10.5: Apocalypse,2006,,,Outra,,4.5/10,48/100,
Thunderbirds Are Go!,2015,,,Outra,all,6.8/10,48/100,
Blade of the Immortal,2008,,,Outra,16+,6.7/10,48/100,
Laid,2011,,,Outra,,7.4/10,48/100,
Karakuri Circus,2018,,,Outra,,7.1/10,48/100,
The Great Escapists,2021,,,Outra,,5.6/10,48/100,
The Mill,2013,,,Outra,,7.5/10,48/100,
Fake or Fortune?,2011,,,Outra,,8.6/10,48/100,
Tudor Monastery Farm,2013,,,Outra,,8.6/10,48/100,
Peg + Cat,2013,,,Outra,all,7.8/10,48/100,
Re:Creators,2017,,,Outra,18+,7.1/10,48/100,
Bounty Hunters,2017,,,Outra,,6.0/10,48/100,
Just Because!,2017,,,Outra,7+,6.9/10,48/100,
Chivas: El Rebaño Sagrado,2021,,,Outra,,7.4/10,48/100,
Yuki Yuna is a Hero,2014,,,Outra,16+,6.8/10,48/100,
The Pack,2020,,,Outra,,6.5/10,48/100,
Boarding School Juliet,2018,,,Outra,16+,7.1/10,48/100,
This Is Football,2019,,,Outra,16+,8.2/10,48/100,
Valemont,2009,,,Outra,7+,5.3/10,47/100,
Alice in Paris,2016,,,Outra,all,8.7/10,47/100,
Fury,1955,,,Outra,,7.4/10,47/100,
Ronja the Robber's Daughter,2014,,,Outra,7+,7.3/10,47/100,
The Restoration Man,2010,,,Outra,,7.8/10,47/100,
Felix the Cat,1958,,,Outra,,6.8/10,47/100,
Rebel,2017,,,Outra,16+,5.4/10,47/100,
Yancy Derringer,1958,,,Outra,,7.8/10,47/100,
Curiosity,2011,,,Outra,16+,7.8/10,47/100,
Hitoshi Matsumoto Presents Documental,2016,,,Outra,,8.0/10,47/100,
JourneyQuest,2010,,,Outra,,8.0/10,47/100,
Babar,1989,,,Outra,all,6.5/10,47/100,
Public Enemies,2012,,,Outra,,7.1/10,47/100,
One Night Stand,1989,,,Outra,18+,8.2/10,47/100,
The Rebel,1959,,,Outra,,7.8/10,47/100,
Full Custom Garage,2014,,,Outra,,8.5/10,47/100,
Hunting ISIS,2018,,,Outra,,8.3/10,47/100,
Rose and Maloney,2002,,,Outra,,7.4/10,47/100,
Mr. Osomatsu,2015,,,Outra,16+,7.5/10,47/100,
Fetch! with Ruff Ruffman,2006,,,Outra,all,7.5/10,47/100,
The Cyanide & Happiness Show,2014,,,Outra,18+,8.0/10,47/100,
Welcome to the Ballroom,2017,,,Outra,16+,7.8/10,47/100,
Flash Gordon,2007,,,Outra,7+,4.9/10,47/100,
Empress Ki,2013,,,Outra,all,7.8/10,47/100,
Enemy at the Door,1978,,,Outra,,7.9/10,47/100,
Deal or No Deal,2005,,,Outra,7+,5.0/10,47/100,
Pound Puppies,2010,,,Outra,all,6.3/10,47/100,
Just Add Magic: Mystery City,2020,,,Outra,all,7.3/10,47/100,
American Ripper,2017,,,Outra,16+,6.3/10,47/100,
Hoarding: Buried Alive,2010,,,Outra,7+,6.6/10,46/100,
Mr. Wizard's World,1983,,,Outra,all,8.1/10,46/100,
Street Fighter: Resurrection,2016,,,Outra,16+,6.5/10,46/100,
The Tesla Files,2018,,,Outra,,7.2/10,46/100,
Clifford's Puppy Days,2003,,,Outra,all,6.7/10,46/100,
A Fortunate Life,1986,,,Outra,7+,7.9/10,46/100,
Troopers,2011,,,Outra,,8.0/10,46/100,
999: What's Your Emergency?,2012,,,Outra,,7.3/10,46/100,
Happy Sugar Life,2018,,,Outra,,6.5/10,46/100,
Tumble Leaf,2013,,,Outra,all,8.5/10,46/100,
The Gymkhana Files,2018,,,Outra,18+,7.9/10,46/100,
Life In Squares,2015,,,Outra,,6.6/10,46/100,
Shakespeare Uncovered,2012,,,Outra,,8.6/10,46/100,
Little Men,1998,,,Outra,,7.6/10,46/100,
London's Burning,1986,,,Outra,,7.0/10,46/100,
Lost in Oz,2015,,,Outra,7+,7.6/10,46/100,
Deltora Quest,2007,,,Outra,all,7.1/10,46/100,
Great Expectations,1999,,,Outra,,7.2/10,46/100,
The Eleven,2017,,,Outra,16+,6.8/10,46/100,
Legend of Master Legend,2017,,,Outra,,,46/100,
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,2019,,,Outra,16+,5.1/10,46/100,
Big Dogs,2020,,,Outra,,5.7/10,46/100,
Tokyo Girl,2016,,,Outra,,7.9/10,46/100,
Jim Gaffigan: The Pale Tourist,2020,,,Outra,,6.7/10,46/100,
MonsterQuest,2007,,,Outra,7+,7.1/10,46/100,
Peep and the Big Wide World,2004,,,Outra,all,7.1/10,46/100,
Shaktimaan,1997,,,Outra,,8.2/10,46/100,
Unsealed: Alien Files,2012,,,Outra,,6.5/10,46/100,
Flowering Heart,2018,,,Outra,,,46/100,
Nova ScienceNow,2005,,,Outra,all,8.5/10,45/100,
Budding Prospects,2017,,,Outra,18+,7.3/10,45/100,
Sofiya,2016,,,Outra,,7.8/10,45/100,
I Married Joan,1952,,,Outra,,7.9/10,45/100,
Baby u,2011,,,Outra,,,45/100,
This Is Personal: The Hunt for the Yorkshire Ripper,2000,,,Outra,,7.6/10,45/100,
Tenspeed and Brown Shoe,1980,,,Outra,7+,7.6/10,45/100,
Women in Love,2011,,,Outra,,6.1/10,45/100,
Marcia Clark Investigates The First 48,2018,,,Outra,16+,8.0/10,45/100,
Goku Midnight Eye,1989,,,Outra,18+,6.9/10,45/100,
Samurai Girls,2010,,,Outra,18+,6.5/10,45/100,
Played,2013,,,Outra,,6.4/10,45/100,
City of Vice,2008,,,Outra,,7.7/10,45/100,
True Tears,2008,,,Outra,7+,7.3/10,45/100,
Kratts' Creatures,1996,,,Outra,all,8.2/10,45/100,
Love and Lies,2017,,,Outra,16+,6.1/10,45/100,
LOL: Australia,2020,,,Outra,,5.9/10,45/100,
HBO Comedy Half-Hour,1994,,,Outra,7+,8.0/10,45/100,
Princess Principal,2017,,,Outra,18+,7.4/10,45/100,
Onihei,2017,,,Outra,,7.8/10,45/100,
The Legend of William Tell,1998,,,Outra,,7.2/10,45/100,
Acapulco H.E.A.T.,1993,,,Outra,16+,5.8/10,45/100,
Dharmakshetra,2014,,,Outra,,8.1/10,45/100,
UFO Files,2004,,,Outra,7+,6.9/10,45/100,
Mansfield Park,1983,,,Outra,all,6.8/10,45/100,
Porterhouse Blue,1987,,,Outra,18+,7.6/10,45/100,
Pete the Cat,2017,,,Outra,all,7.6/10,45/100,
Ivanhoe,1997,,,Outra,7+,7.4/10,45/100,
Sigmund and the Sea Monsters,1973,,,Outra,all,6.9/10,45/100,
The Bay,2010,,,Outra,,7.3/10,45/100,
The Detectives,2015,,,Outra,,7.8/10,45/100,
100 Years of Horror,1996,,,Outra,,7.2/10,45/100,
Bikini Destinations,2003,,,Outra,18+,6.9/10,45/100,
Walking Through History,2013,,,Outra,,8.2/10,45/100,
Civil War Journal,1993,,,Outra,,8.2/10,45/100,
IRODUKU: The World in Colors,2018,,,Outra,16+,7.4/10,44/100,
El Desafío: ETA,2020,,,Outra,,8.3/10,44/100,
Rob the Robot,2010,,,Outra,all,7.8/10,44/100,
Crime Investigation Australia,2005,,,Outra,18+,8.0/10,44/100,
Six Dreams,2018,,,Outra,,7.8/10,44/100,
Sensing Murder,2006,,,Outra,,6.4/10,44/100,
I Survived...Beyond and Back,2010,,,Outra,,8.1/10,44/100,
All or Nothing: The Michigan Wolverines,2018,,,Outra,,7.6/10,44/100,
The Simple Life,2003,,,Outra,16+,3.9/10,44/100,
Beatless,2018,,,Outra,,5.7/10,44/100,
The Kicks,2016,,,Outra,all,7.0/10,44/100,
Sons of The Soil - Jaipur Pink Panthers,2020,,,Outra,,7.8/10,44/100,
Pequeñas coincidencias,2018,,,Outra,7+,7.4/10,44/100,
On the Spot,2014,,,Outra,,8.1/10,44/100,
UFO Hunters,2008,,,Outra,7+,6.5/10,44/100,
Transformers: Combiner Wars,2016,,,Outra,16+,5.4/10,44/100,
Cape Town,2016,,,Outra,,6.1/10,44/100,
All or Nothing: Brazil National Team,2020,,,Outra,16+,7.2/10,44/100,
Kannazuki no Miko,2004,,,Outra,16+,6.7/10,44/100,
The Roman Empire in the First Century,2001,,,Outra,,7.5/10,44/100,
The Adventures of Maya the Honey Bee,1975,,,Outra,all,6.7/10,44/100,
Soviet Storm: WWII in the East,2011,,,Outra,7+,8.7/10,44/100,
Chiller,1995,,,Outra,,6.5/10,44/100,
Charlie's Angels,2011,,98 min,Netflix,16+,4.4/10,44/100,A tight-knit trio of specially trained agents wield weapons — and charm — as they track down stolen software in this reboot of the classic TV series.
The Underground,2006,,,Outra,18+,5.6/10,44/100,
Eat the World with Emeril Lagasse,2016,,,Outra,16+,7.9/10,44/100,
Pandora's Box,2012,,,Outra,16+,8.5/10,44/100,
The Veil,1958,,,Outra,,7.6/10,44/100,
Black Widows,2014,,,Outra,,6.9/10,44/100,
Sea Rescue,2012,,,Outra,all,8.9/10,44/100,
America Revealed,2012,,,Outra,,8.1/10,44/100,
Hero: 108,2010,,,Outra,all,5.7/10,44/100,
BBQ with Franklin,2015,,,Outra,all,8.1/10,44/100,
Oasis,2017,,,Outra,18+,8.3/10,44/100,
The Fabric of the Cosmos,2011,,,Outra,,8.7/10,43/100,
Merlin's Apprentice,2006,,,Outra,16+,5.3/10,43/100,
Fireball XL5,1962,,,Outra,7+,7.3/10,43/100,
Studio One,1948,,,Outra,,7.8/10,43/100,
Canimals,2011,,,Outra,all,7.0/10,43/100,
Wild Boys,2011,,,Outra,7+,6.9/10,43/100,
The Annoying Orange,2009,,,Outra,7+,,43/100,
