"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"Black Box",2020,"100.0","Outra","16+","6.2/10","61/100",
"The Kill Team",2019,"87.0","Outra","18+","5.9/10","61/100",
"Cool World",1992,"102.0","Outra","13+","4.9/10","61/100","When cartoonist Jack Deebs was behind bars, he found escape by creating ""Cool World"", a cartoon series featuring a voluptuous femme fatale named Holli Would. But the cartoonist becomes a prisoner of his own fantasies when Holli transports Jack into Cool World with a scheme to seduce him and bring herself to life. A hard-boiled detective--the only other human in Cool World--cautions Jack with the law: Noids (humans) don't have sex with doodles (cartoons). However, the flesh proves weaker than ink as Holli takes human form in Las Vegas, staring in a trans-universal chase that threatens the destruction of both worlds. With a splashy combination of animation and live-action sequences, ""Cool World"" delivers the hottest action around."
"Do You Remember Dolly Bell?",1981,"110.0","Outra",,"7.6/10","61/100","A young man grows up in Sarajevo in the 1960s, under the shadow of his good, but ailing father, and gets attracted by the world of small-time criminals. They hire him to hide a young prostitute and he falls in love with her."
"Blackbird",2019,"97.0","Outra","18+","6.6/10","61/100","Lily is dying and by the end of this weekend, she'll be dead. She suffers from amyotrophic lateral sclerosis and is planning to pursue euthanasia with the help of her husband Paul and invites her family and her longtime best friend Liz to the house so they can spend her final days together. But there's tension between her daughters, the uptight Jennifer and the wayward Anna, and it threatens to destroy her perfectly laid-out plan."
"Goldstone",2016,"110.0","Outra","18+","6.5/10","61/100","Indigenous Detective Jay Swan arrives in the frontier town of Goldstone on a missing persons inquiry. What seems like a simple light duty investigation opens a web of crime and corruption. Jay must pull his life together and bury his differences with young local cop Josh, so together they can bring justice to Goldstone."
"Penny Serenade",1941,"119.0","Outra",,"7.1/10","61/100","As tears well up in her eyes, once-happy Julie listens to her favourite songs, reminiscing about the ups and downs of her life. Indeed, Julie and her husband, Roger, have always been there for each other through thick and thin. However, it seems that the love is gone. But, before leaving the house, Julie decides to listen to their old, memory-laden records for one last time, eager to relive all the fundamental stages of her love story with Roger. Now, a flurry of mixed emotions overcomes Julie. Is all hope lost?"
"Jeffrey",1995,"92.0","Outra","18+","6.8/10","61/100","Jeffrey, a young gay man in New York, decides that sex is too much and decides to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth the danger of a boyfriend dying."
"Never Surrender: A Galaxy Quest Documentary",2019,"95.0","Outra","13+","7.6/10","61/100",
"Life with Father",1947,"118.0","Outra","Passed","7.2/10","61/100","In late-19th-century New York City, a Wall Street broker likes to think his house runs his way, but finds himself constantly bemused at how much of what happens is down to his wife. His children are also stretching their wings, discovering girls, and making money selling patent medicines. When it comes to light that he has never been baptized and everyone urges him to remedy this, it gets to be too much."
"Hunting and Gathering",2007,"97.0","Outra",,"6.8/10","61/100","Camille (Audrey Tautou) works evenings as an office cleaning woman, and makes graceful drawings in her free time, living in the attic of a Parisian apartment block. Philibert (Laurent Stocker) is a young, aristocratic history buff living - temporarily - in an apartment lower down, part of the estate of his late grandmother. He has let out part of it to up-and-coming cook Franck (Guillaume Canet), a gruff young loner and womaniser with a genuine love for his frail grandmother, Paulette (Francoise Bertin). When Camille falls ill, Philibert insists she stay with the two of them so he can look after her. And even though she and Franck clash, the trio manage to live together and learn from each other."
"2 Days in New York",2012,"96.0","Outra","18+","6.0/10","61/100",
"Right at Your Door",2006,"96.0","Outra","18+","6.1/10","61/100","After Lexi leaves home to visit Central LA, there's a terrorist attack involving chemical bombs. After the attack, her musician husband, Brad, fails to find her and reluctantly seals himself inside his house. He will have to deal with this decision in the days to come."
"Passion Fish",1992,"135.0","Outra","18+","7.4/10","61/100","May-Alice Culhane was a successful soap opera star, but a car accident has left her bound to a wheelchair. She returns to her now-empty family home in the bayous of Louisiana which she had eagerly left years before. She drinks heavily and vents her bitterness on the succession of nurses who are hired to take care of her and immediately quit because she is so unbearable. Chantelle is the latest of these nurses, and May-Alice is told that Chantelle is the last nurse she'll get. Chantelle for reasons of her own, is also in a position where she badly needs the job to work out. The movie focuses on how these two women become friends and help each other heal emotionally."
"The Lords of Salem",2012,"101.0","Outra","18+","5.2/10","61/100","Heidi, a blond rock chick, DJs at a local radio station, and together with the two Hermans (Whitey and Munster) forms part of the ""Big H Radio Team."" A mysterious wooden box containing a vinyl record arrives for Heidi, a gift of the Lords. She assumes it's a rock band on a mission to spread their word. As Heidi and Whitey play the Lords' record, it starts to play backwards, and Heidi experiences a flashback to a past trauma. Later, Whitey plays the Lords' record, dubbing them the Lords of Salem, and to his surprise, the record plays normally and is a massive hit with his listeners. The arrival of another wooden box from the Lords presents the Big H team with free tickets, posters and records to host a gig in Salem. Soon, Heidi and her cohorts are far from the rock spectacle they're expecting. The original Lords of Salem are returning and they're out for blood."
"Serena",2014,"127.0","Outra","18+","5.4/10","61/100",
"The Healer",2017,"113.0","Outra","18+","6.3/10","61/100","Alec Bailey is a gambling, womanizing bankrupt electrical repairman who still is traumatized by the death of his twin brother Charlie. Without a penny and almost in the poorhouse, Alec learns he has an uncle, Richard Heacock, brother of his mother, who lives in Halifax, Nova Scotia. Richard offers to solve Alec's money debts with one condition - that Alec moves to and lives in Halifax for a year. Reluctant to the travel but threatened by a violent money collector, Alec accepts Uncle Richard's proposal. When he arrives in Halifax, he discovers the villagers believe he is ""The Chosen One,"" a man with the ability to heal all diseases. At the same time, Halifax's local Sheriff starts a personal campaign against Alec in the belief that he's a fraud who's cheating people. Trapped by a situation that little by little overwhelms him, Alec finds a friend in Cecilia, a lovely local veterinarian. Richard tells Alec his ancestors are a family of healers with the gift to heal if it's in the fate of the each person to be healed - a gift that skips a generation and must be accepted or rejected at midnight on one's thirtieth birthday. Refusing his gift the next day, Alec meets Abigail, a sassy, worldly and sarcastic 14-years-old with terminal cancer. Trying to convince Abigail's parents that he can't heal her, Alec accepts Abigail's idea to spend time together over the weekend in order to escape two days from her overprotective parents. Alec discovers in Abigail a force of nature full of life and energy at the same time the feelings between Cecilia and him develop. Alec starts to question himself and the bad decisions in his life, asking God for a second chance to recover his gift and save Abigail; but, when uncle Richard reveals that the gift can't be recovered once renounced, Alec finds a way to give Abigail the best weekend he can deliver."
"House of Hummingbird",2019,"138.0","Outra",,"7.4/10","60/100","Set in 1994 in Seoul, a touching coming-of-age drama centered around the quiet, unexceptional eighth-grader Eun-Hee (Ji-hu Park). Struggling to make passing grades and subject to non-stop screaming at home, she spends her time finding meaning in the love and friendships of her peers, in shoplifting, and in karaoke bars. It's in her cram school professor Yong-Ji (Sae-byeok Kim), however, that Eun-Hee finds the answers that she seeks, as the two form an unlikely friendship."
"Super Size Me 2: Holy Chicken!",2019,"93.0","Outra","13+","7.1/10","60/100",
"Kaala Patthar",1979,"176.0","Outra","all","7.7/10","60/100","Captain Vijay Pal Singh is branded a coward, disgraced, humiliated by society and disowned by his parents for abandoning his ship risking the lives of over 300 passengers. With guilt on his mind and low self-esteem Vijay takes up work as a miner in a coal mine owned by Dhanraj Puri. Puri is a self-senile man who thinks about himself, by endangering the lives of his workers to profit himself and with no benefits or medical facilities for them. Vijay attempts to get rid of his cowardice by saving the lives of his co-workers by the contended wrath of Puri. The same happens when water forces its way into one of the mining tunnel endangering the lives of hundreds of workers; this time Vijay hopes to make it big so that he can be able to put together his life again."
"God of Love",2010,"18.0","Outra",,"7.6/10","60/100",
"Dead Man on Campus",1998,"96.0","Outra","18+","6.0/10","60/100","Josh, (Scott) a college student on a scholarship, gets taught the about crazy nightlife of being in college by his unreliable roommate Cooper (Gosselaar) and fails his midterms due to being unprepared. With Cooper's father no longer willing to pay his son's way through college, and Josh needing to keep up his grades or risk losing his scholarship, the two learn of a hidden clause in the school's rules that basically says ""if your roommate commits suicide, you get straight A's."" Since neither are willing to do so, they instead decide to invite a suicidal colleague in. - and push him over the edge."
"The Opposite of Sex",1998,"105.0","Outra","18+","6.4/10","60/100","A 16 year old Louisiana girl moves in with her homosexual half-brother and immediately starts coming on to his sexual partner, finally forcing him into an affair in which she becomes pregnant. The whole affair blows into a scandal exposing her school teacher brother and the true parent of the child is called into question as it is revealed that there have been a series of lovers."
"A Fantastic Fear of Everything",2012,"100.0","Outra","18+","5.8/10","60/100","Jack is a children's author turned crime novelist whose detailed research into the lives of Victorian serial killers has turned him into a paranoid wreck, persecuted by the irrational fear of being murdered. When Jack is thrown a life-line by his long-suffering agent and a mysterious Hollywood executive takes a sudden and inexplicable interest in his script, what should be his big break rapidly turns into his big breakdown, as Jack is forced to confront his worst demons; among them his love life, his laundry and the origin of all fear."
"Suddenly",1954,"77.0","Outra",,"6.8/10","60/100",
"Clockwatchers",1997,"96.0","Outra","13+","6.6/10","60/100","Iris can best be described as a wallflower. She begins her first day as a temp for the nondescript Global Credit Association by waiting in a chair for two hours. This sets the scene for her (mis)adventures with the other ""corporate orphans"", Margaret, Paula and Jane. Led by Margaret, they find subtle ways to lessen the ennui of corporate oppression. The tension escalates when the new permanent hire, Cleo, enters the picture."
"Pay the Ghost",2015,"94.0","Outra",,"5.2/10","60/100","One year after Mike Lawford's young son disappeared during a Halloween carnival, he is haunted by ghostly images and terrifying messages he can't explain. Together with his estranged wife, he will stop at nothing to unravel the mystery and find their son-and, in doing so, he unearths the legend of the crying woman who refuses to remain buried in the past."
"Battles Without Honor and Humanity: Deadly Fight in Hiroshima",1973,"99.0","Outra",,"7.5/10","60/100",
"The Phantom",1996,"100.0","Outra","7+","5.0/10","60/100","Four hundred years ago, a young boy witnessed his father's death during an attack on their ship by the bloodthirsty Sengh Brotherhood. He was washed ashore on Bengalla Island where he swore to devote his life to bring down piracy, greed, cruelty and injustice. He became The Phantom, a masked avenger whose role was passed down from father to son, leading people to believe in an immortal figure called ""The Ghost Who Walks"". The 21st successor to the role of Bengalla's resident superhero must travel to New York City to prevent a power-hungry businessman from obtaining three magic skulls that would give him the secret to ultimate power."
"Jasper Mall",2020,"85.0","Outra",,"7.0/10","60/100",
"The Little Princess",1939,"93.0","Outra","all","7.2/10","60/100","When her father, Captain Crewe, goes off to fight in the Boer War, young Sara Crewe is placed into the care of Amanda Minchin, the head of an exclusive private school for girls. Sara lives a wonderful life of a privileged child and is quite happy in her surroundings. When her father is listed as missing in action however, her life goes from one of plenty to that of a poor house maid. Mrs. Minchin agrees to keep her on at the school, but in the absence of her tuition payments, she has to work for her keep. She is soon cleaning out the fireplace and scrubbing floors and is dubbed the little princess by her former schoolmates. She also refuses to accept that her father is dead and prowls the hospitals in the hope of locating him. Luck - and Royal intervention - assist her in her quest."
"Candyman: Farewell to the Flesh",1995,"95.0","Outra","18+","5.3/10","60/100","The Candyman moves on to New Orleans and starts his horrific murders once more. This time, his intended victim is a school teacher. Her father was killed by the Candyman, and brother wrongly accused of the murders"
"Borderland",2007,"105.0","Outra","18+","5.7/10","60/100","Three college students, Phil, Ed, and Henry take a road trip into Mexico for a week of drinking and carefree fun only to have Phil find himself a captive of a group of satanic Mexican drug smugglers who kill tourists and whom are looking for a group of new ones to prepare for a sacrifice."
"Merantau",2009,"134.0","Outra","18+","6.7/10","60/100","In Minangkabau, West Sumatera, Yuda a skilled practitioner of Silat Harimau is in the final preparations to begin his ""Merantau"" a century's old rites-of-passage to be carried out by the community's young men that will see him leave the comforts of his idyllic farming village and make a name for himself in the bustling city of Jakarta. After a series of setbacks leave Yuda homeless and uncertain about his new future, a chance encounter results in him defending the orphaned Astri from becoming the latest victim of a European human trafficking ring led by the wildly psychotic, Ratger and his right-hand man Lars. With Ratger injured in the mêlée and seeking both his ""merchandise"" and bloody retribution, Yuda's introduction to this bustling city is a baptism of fire as he is forced to go on the run with Astri and her younger brother Adit as all the pimps and gangsters that inhabit the night hound the streets chasing their every step. With escape seemingly beyond their grasp, Yuda has no choice but to face his attackers in an adrenaline charged, jaw-dropping finale."
"Zakir Khan : Haq Se Single",2017,"90.0","Outra",,"8.6/10","60/100",
"Tracers",2015,"94.0","Outra","13+","5.6/10","60/100","Wanted by the Chinese mafia, a young New York City bike messenger down on his luck, who just wants to do good, escapes into the world of parkour after meeting a beautiful stranger and her group of Parkour trainers that get him involved in a criminal delivery service for extra money."
"Maidentrip",2014,"82.0","Outra",,"7.5/10","60/100",
"Monsters of Man",2020,"131.0","Outra","18+","5.3/10","60/100","A robotics company teams up with a corrupt CIA agent undergoing an illegal, unsanctioned military operation. Dropping four prototype robots into a suspected drug manufacturing camp in the Golden triangle that no one will miss. The mission is to prove the robotics company is worthy of winning a lucrative military contract. Six doctors on a good cause witness the brutal slaughter of an innocent village and are forced into a deadly game of cat and mouse as they become the new targets."
"Imagine That",2009,"107.0","Outra","7+","5.6/10","60/100",
"Tabu",1931,"59.0","Outra","13+","7.5/10","60/100",
"Dil Bole Hadippa!",2009,"148.0","Outra","13+","4.6/10","60/100","Veera (Rani Mukerji) is a fire-cracker of a girl who lives in a small village but dreams in 70mm. She works in a local theatre group but dreams of playing cricket in the big league. Yes, believe it or not, she wants to play with Tendulkar and Dhoni for India. While Veera dreams on in India, Rohan (Shahid Kapoor) is an accomplished captain of a county cricket team in England. Rohan returns to India to captain his fathers cricket team which has been losing consecutively for the last 8 years. In a village where girls don't play cricket, Veera has to put on a turban and beard and become a man to fulfill her dreams. Her brilliance on the field earns her a place in Rohans team and Veera Kaur becomes Veer Pratap Singh. And then begins a roller-coaster journey of Veera, Rohan and Veer filled with colour, vibrant music, romance and comedy through Punjab and beyond. This tale of turbans, twists and tricks will make your heart go Hadippa."
"Babes in Toyland",1934,"106.0","Disney +",,"7.2/10","60/100","All roads lead to magical, merry Toyland as Mary Contrary and Tom Piper prepare for their wedding. But villainous Barnaby wants Mary for himself, so he kidnaps Tom, setting off a series of comic chases, searches, and double-crosses."
"The Answer Man",2009,"97.0","Outra","18+","6.4/10","60/100","Everyone wants to meet Arlen Faber, the world famous author of the best-selling spiritual book ""Me and God,"" but crotchety, disgruntled Arlen simply wants to be left alone - and so far he's been successful in keeping his identity a secret. But all that changes when troubled bookstore owner Kris Lucas discovers his home address and barters books for Arlen's words of wisdom, and a back injury leads the reclusive writer to begin dating chiropractor and overprotective single mother Elizabeth. As Arlen's relationships with his newfound friends begin to grow, he must come to terms with his past and the realization that he doesn't hold all the answers."
"Silsila",1981,"182.0","Outra","7+","7.3/10","60/100","Amit (Amitabh Bachchan) a poet decides to bury his past life along with his love for Chandni (Rekha) when he meets Shobha (Jaya Bachchan). Shobha's life has come to a standstill after her fiancé and Amit's brother Shekhar (Shashi Kapoor) dies in a plane crash. Amit had only come to mourn the death of his brother with Shobha but ends up sacrificing his own love and life in an attempt to give Shobha a new lease of life. When fate brings Amit and Chandni face to face again, both are married to different people - but neither can ignore their feelings for each other. SILSILA is a story, thwarted by society's demands, which reappear as adultery but can it survive in the face of society?"
"Ooops! Noah is Gone...",2015,"87.0","Outra","all","5.8/10","60/100",
"Stick Man",2015,"27.0","Outra","all","7.2/10","60/100","Stick Man, an animated twig, lives with his Stick Lady Love and their children in the family tree. Out one day for a jog he meets a little boy who throws him for his dog to fetch, some children who play Pooh-sticks with him and a swan who uses him to build a nest before being washed out to sea and onto a beach far from home. After several other humiliating encounters throughout the year he has an unexpected saviour in the form of Santa Claus who helps him to get home for Christmas with his family."
"Operation Avalanche",2016,"94.0","Outra","18+","6.1/10","60/100","1967: the height of the Cold War. The CIA suspects there is a Russian mole inside of NASA, sabotaging the Apollo program. They send two young agents on a mission to go undercover, posing as documentary filmmakers to capture NASA's race to the moon. The real mission - use their access and technology to hunt down the leak. But what they discover is far more shocking than soviet spies - Their government may be hiding a secret about Apollo that could define the decade, and the White House will stop at nothing to silence anyone who learns it."
"A Vigilante",2019,"91.0","Outra","18+","5.7/10","60/100",
"Saathiya",2002,"138.0","Outra",,"6.8/10","60/100","Running away from home can't keep a couple together. A signed paper can't keep a couple together. Love can. While for most Love Stories, marriage is the ""goal"", the fact remains that marriage is just the beginning. Saathiya continues on, from where most love stories end. From the infatuation stage ""when a couple thinks they are in love"" right through to ""when a couple discovers the true meaning of love"". Aditya (Vivek Oberoi) and Suhani (Rani Mukerji) met and fell in love. But when they eloped and set up home hoping that just Love will do the trick - well that's just the beginning of their story."
"Stander",2004,"111.0","Outra","18+","7.1/10","60/100","In mid-1970s Johannesburg, white police officer Andre Stander (Thomas Jane) suffers a crisis of conscience due to his involvement in apartheid and becomes a notorious bank robber on the run. Then from 1983 to 1984, the ""Stander gang"" (Stander, Alan Heyl, and Patrick McCall) rob as many as four banks a day."
"In Secret",2013,"107.0","Outra","18+","6.1/10","60/100","Set in the lower echelons of 1860s Paris, Therese Raquin, a sexually repressed beautiful young woman, is trapped into a loveless marriage to her sickly cousin, Camille, by her domineering aunt, Madame Raquin. Therese spends her days confined behind the counter of a small shop and her evenings watching Madame play dominoes with an eclectic group. After she meets her husband's alluring friend, Laurent, she embarks on an illicit affair that leads to tragic consequences."
"Dhamaal",2007,"136.0","Outra","18+","7.3/10","60/100","Four slackers and con-men namely: Boman Contractor, who lives a wealthy lifestyle with his eccentric dad, Nari, who loves his antique car more than his son, and asks his son to leave when he damages the car; hot-headed Aditya and dim-witted Manav, orphaned brothers; and Deshbandhu Roy, a trickster who wears a magnetized belt; share a room with a lenient landlady, who eventually gives up on them and kicks them out. After a number of con tricks, the group are arrested by the Police, but released in the countryside. At this point they witness a car plummet down a cliff, with it's sole occupant, Bose, an underworld don, who, before dying, tells them that he has hidden 10 Crore Rupees in cash in the St. Sebastian's Garden, Goa, and if they find it, it is their's to keep. The group race toward Goa in Contractor's stolen car, little knowing that their plans will soon be foiled, albeit hilariously, by Police Inspector Kabir Nayak, who is angered at this Department for not appreciating his honesty, and is instead penalizing him by transferring him to Yavatmal; a bus hijacker-cum-bandit named Baabubhai, who holds Deshbandhu hostage, and Nari Contractor, who wants the money to repair his now completely damaged car. All want an equal part of the bounty, and each and everyone of them will do anything, even break-up their friendship, rules, laws, and regulations in order to try and keep the cash for themselves, and eventually end up in a race, using a wide assortment of vehicles, and even an airplane, with the winner(s) keeping the entire amount for themselves."
"The Extraordinary Journey of the Fakir",2018,"92.0","Outra","all","6.9/10","60/100","Ajatashatru Lavash Patel has lived all his life in a small Mumbai neighborhood tricking people with street magic and performing as a 'fakir' who can do impossible miracles. After his mother's untimely death, he sets out on a journey to find his father and rise from poverty."
"Wish Upon a Star",1996,"90.0","Outra","7+","6.7/10","60/100","Handsome, considerate high-school jock Kyle Harding is the only taste the Wheaton sisters share. Tall, fashionable, popular airhead big sister Alexia is dating him, but fails to truly appreciate him, let alone contemplate a serious relationship. Her nerdy kid sister, Hayley, hates the waste and expresses her envy by thoughtlessly wishing at a shooting star to be Alexia. To their astonishment, that happens the next morning. Forced to live each other's lives, but unable to do it well by the other's standards, they soon hate each other even more and deliberately screw up. Gradually, realizing they would both lose out, they learn to appreciate each other's values and reconsider their own. They realize they would only both lose out, learn to appreciate the other's values, and reconsider their own...and resolve the matters of the utterly-confused Kyle and new neighbor, Simon, whose no-longer-secret crush on Hayley was confounded by Alexia."
"Did You Hear About the Morgans?",2009,"103.0","Outra","13+","4.9/10","60/100","Meryl and Paul Morgan have separated since his infidelity. He's a Manhattan lawyer, seeking forgiveness. She's moved on, focusing on real estate sales. As he walks her to an appointment one evening, pleading his case, they witness a murder, and the murderer sees them. The F.B.I. wants them in Witness Protection until the killer is caught. He's already hunting them. The F.B.I. sends them to Ray, Wyoming, a tiny ranch town, where they stay with the aging Sheriff and his gun-toting wife (who's his Deputy). Meryl and Paul must sort out their relationship while their New York City ways bump up against those of the West. Meantime, Meryl knows two things that Paul doesn't."
"The Last King",2016,"99.0","Outra","18+","6.1/10","60/100",
"I'll See You in My Dreams",2015,"92.0","Outra","13+","6.7/10","60/100","In this vibrant, funny, and heartfelt film, a widow and former songstress discover that life can begin anew at any age. With the support of three loyal girlfriends (June Squibb, Rhea Perlman, and Mary Kay Place), Carol (Blythe Danner) decides to embrace the world, embarking on an unlikely friendship with her pool maintenance man (Martin Starr), pursuing a new love interest (Sam Elliott), and reconnecting with her daughter (Malin Akerman)."
"My Best Friend",2018,"90.0","Outra",,"6.8/10","60/100","Lorenzo is a quiet teenager who lives with his parents and his younger brother in small city in the Argentinean Patagonia. One day, a family friend's son named Caíto moves south and settles in at Lorenzo's home. His family is going through difficult times and can't give much care to him. Caíto is very shy and hardly speaks. Lorenzo is supposed to help him feel at home. They become friends. They spend great amounts of time together. Although Lorenzo doesn't like sports, he puts up with Caíto's fascination for mountain biking. They share deep conversations too. They can be very different but they come to understand each other. It won't be long until everybody at home realizes Caíto is a difficult case. After a couple of days, Lorenzo's parents feel they've had enough. But then, Caíto makes a big confession to Lorenzo. He tells him the true reason why he was forced to leave his house. After that, Lorenzo takes charge of him so that his parents let him stay. He now has a secret to hold, a responsibility to take and a troublesome partner that will take him through new life experiences."
"Mia and the White Lion",2018,"98.0","Outra","7+","6.5/10","60/100","Mia is 11 years old when she develops an extraordinary relationship with Charlie, a young white lion born in Mia's parents farm, in South Africa. During three years, they will grow up together and live a beautiful friendship. When Mia reaches the age of 14 and that Charlie has become a magnificent adult lion, she discovers the unbearable truth: her father has decided to sell the lion to trophy hunters. Desperate, Mia has no other choice than to escape with Charlie in order to rescue him."
"Status Update",2018,"106.0","Outra","13+","5.8/10","60/100",
"School Daze",1988,"121.0","Outra","18+","6.0/10","60/100","In the South of the United States are taking place confrontations between two groups of students who have different ideas and are not able to accept the one of the opponent."
"The Perfect Game",2010,"118.0","Outra","7+","6.9/10","60/100","Based on a true story. In 1957 a rag-tag, shoeless, poor group of kids from Monterrey, Mexico shocked the world by winning 13 games in a row and the Little League World Series in the only perfect game ever pitched in the Championship. These kids, led by their priest and a down-and-out former major leaguer embark on a journey through the southern US and up into Williamsport, PA for the Championship game. They encountered many adversities including nearly being deported and the bigotry that wouldn't allow them into certain restaurants or travel on certain buses. They never lost their faith and eventually captured the hearts of both nations. This is a heart-warming inspirational story in the tradition of ""Rudy"", ""Hoosiers"", ""Coach Carter"" or ""Friday Night Lights""."
"Operator",2016,"88.0","Outra",,"6.1/10","60/100","When the daughter of veteran 911 call center operator Pamela (Mischa Barton), and her estranged husband Jeremy (Luke Goss), a Senior Police Officer, is kidnapped and held hostage, they are left desperate, with no choice but to follow the kidnapper's rules: send messages through dispatch for all police and fire units to scatter to remote locations throughout the city where they are met with chaos. Not knowing who or why, the one thing they do know is if they fail to discreetly collaborate with one another - they will be solely responsible for facilitating the biggest crime in the city's history. Now they must race against the clock to make the choice of their lives - save the city - or save their daughter."
"The Delta Force",1986,"125.0","Outra","18+","5.6/10","60/100","When terrorists Abdul Rafai and Mustafa hijack a Boeing 707 in Athens with 144 passengers and 8 crew members, they use a grenade to force pilot Captain Roger Campbell to fly to Beirut, Lebanon instead of Rome and New York. Meanwhile the Delta Force commanded by Colonel Nick Alexander and Major Scott McCoy are assigned to resolve the situation. Abdul and Mustafa separate the Jewish and Marine passengers and they are transported to Beirut, while 12 other terrorists come aboard. Then they fly to Algiers and release the women and children. McCoy and the Delta Force team are prepared to attack the plane when Alexander learns that there are now 14 terrorists aboard, and he aborts the mission. Abdul kills a Marine and returns to Beirut with the male passengers on board. Now the Delta Force needs to act in two locations crowded of terrorists to release the hostages. Will they succeed?"
"Black Robe",1991,"101.0","Outra","18+","7.1/10","60/100","In the 17th century a Jesuit priest nicknamed Black Robe by the natives and his young companion are escorted through the wilderness of Quebec by a family of Algonquin Indians to find a distant mission in the dead of winter. Underneath the imposing and magnificent mountains, the Jesuit experiences a spiritual journey while his young companion falls in love with their Algonquin guide's beautiful daughter. Dread and death follows them upriver, however, as they face an Iroquois war party. Based on historical fiction novel."
"The Fare",2019,"82.0","Outra",,"6.3/10","60/100","When a charming woman named Penny climbs into his taxi, Harris finds himself entranced. That is, right up until she disappears from the back seat without a trace. As he desperately tries to make sense of what happened, he resets his meter and is instantly brought back to the moment she first climbed into his cab. He and Penny find themselves trapped in an endlessly looping ride that changes their lives forever."
"Bigil",2019,"179.0","Outra",,"7.0/10","60/100","This movie revolves around on how a football player sacrifices his dream for his father, who is a gangster and who also wants his son to achieve big in football. Later, he gets a second chance to achieve his dream where he needs to coach a women's football team to glory with many obstacles."
"Stay Tuned",1992,"88.0","Outra","7+","6.2/10","60/100","The Knables are having marriage problems: Roy is a lousy plumbing supplies salesman by day and couch potato by night, and his wife, Helen, is a successful senior product manager for a vitamin company. Roy watches too much TV every night and Helen just cannot stand it. Then one night, Helen offers Roy a night to save their relationship: a romantic getaway without phones, their children, and especially no TV. Unfortunately, when Roy's hooked on the big screen, there's no going back. This frustrates and angers her and Helen decides to smash the family console with one of Roy's trophies as a wake-up call to reality. A heartbroken-to-disoriented Roy then hears the doorbell and finds out that it's a mysterious salesman named Spike who offers him the ""ultimate getaway"" from all the hate, frustration, and failures: a new remote controller and a new state-of-the-art satellite TV. Roy accepts the new TV by signing a free trial contract not knowing that he just sold his soul to the devil himself. But later, Helen is both not impressed and steamed. After a fight outside, the ""dish"" activates. Roy and Helen try as hard as possible to escape, but it was too late for the force of gravity from the dish sucks them into the ""Cable Television World of Hell"" - all six hundred and sixty-six channels worth. Now they must survive through every episode of shows such as the game show ""You Can't Win"", the U.W.W.F. (Underworld Wrestling Federation) match, ""Northern Overexposure"", ""Driving Over Miss Daisy"" and a cartoon sequence called ""RoboCat"", ""Autopsies of the Rich and Famous"", ""Duane's Underworld"", ""HTV"", and ""Off With His Head"", all within 24 hours. If successful, they will return back to home, but if they fail, the devil keeps their souls forever. After they survived one day without harm, Roy gets sent back home while Spike hold Helen hostage. Now with the help of their children, Daryl, a communication whiz, and Diane, a fashion freak, Roy must re-enter the underworld of Hell Vision TV and save his wife, while keeping a distance from Spike. It is then that Roy will learn the hard way that there's more things in life than only a television. Like commitment. (Formerly written by Christopher Howell)"
"The Baytown Outlaws",2012,"98.0","Outra","18+","6.4/10","60/100","After her ex-husband Carlos shoots Celeste three times in the gut, it's time to play dirty. In the fight for her godson, Rob, she hires three outlawed and redneck brothers to bring him back to her. But nothing can be that simple in the South. What begins as a small rescue mission rises to a southern battle royale. This odd team must shoot their way through gorgeous female assassins, Native American hunters, Federal agents, and a whole lot of metal coming after them, while protecting Celeste's innocent child."
"...And God Created Woman",1956,"95.0","Outra","7+","6.3/10","60/100","Antoine promises to take the orphaned Juliette away from St. Tropez after a party where she has wandered onto the yacht of the urbane Eric. But in the morning the bus and Antoine zip by Juliette's stop and she runs into the field to capture the rabbit she set free moments before. About to be sent back to the orphanage by her foster mother, she identifies with the rabbit. Antoine's younger brother Michel comes to Juliette's rescue with a marriage proposal and she accepts. Eric wants the brothers' shipyard as a casino site and brings Antoine back to St. Tropez. Life gets complicated."
"Sufna",2020,"144.0","Outra",,"8.0/10","60/100",
"Belle and Sebastian",2013,"104.0","Outra",,"6.9/10","60/100",
"Fever Pitch",1997,"104.0","Outra","18+","6.7/10","60/100","A romantic comedy about a man, a woman and a football team. Based on Nick Hornby's best-selling autobiographical novel, Fever Pitch. English teacher Paul Ashworth believes his long-standing obsession with Arsenal serves him well. But then he meets Sarah. Their relationship develops in tandem with Arsenal's roller coaster fortunes in the football league, both leading to a nail-biting climax."
"Beyond Re-Animator",2003,"96.0","Outra","18+","5.8/10","60/100","Left to rot in prison for the past thirteen years after the blood-drenched events in Re-Animator (1985) and Bride of Re-Animator (1990), the misunderstood virtuoso of mayhem, Dr Herbert West, finds an unexpected ally in the person of the young medical doctor, Howard Phillips. Behind the thick walls of the impenetrable Arkham State Penitentiary, the blasphemous duo of dreamers set up a secret laboratory to test an entirely new reanimating serum, which--when combined with West's original phosphorescent reagent--can work miracles on the prison's inmates. Now, the stage seems set for the ultimate experiment; however, once more, this is easier said than done. Can the good doctors escape from this concrete pit of death?"
