Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
The Serpent,2021,58 min,1 Seasons,Outra,15+,7.6/10,69/100,In the mid-1970s Charles Shobhraj is a gem dealer in Bangkok. However with his girlfriend and another accomplice he is responsible for the murders of scores of tourists. His crimes go unnoticed until a Dutch diplomat starts investigating the disappearance of two Dutch tourists.
The Gift,2019,40 min,3 Seasons,Netflix,18+,7.2/10,69/100,A painter in Istanbul embarks on a personal journey as she unearths universal secrets about an Anatolian archaeological site and its link to her past.
Violet Evergarden,2018,24 min,1 Season,Netflix,16+,8.5/10,69/100,"The war is over, and Violet Evergarden needs a job. Scarred and emotionless, she takes a job as a letter writer to understand herself and her past."
3Below: Tales of Arcadia,2018,24 min,2 Seasons,Netflix,7+,7.7/10,69/100,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters."
Jeffrey Epstein: Filthy Rich,2020,227 min,1 Season,Netflix,18+,7.1/10,69/100,Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.
Dawson's Creek,1998,60 min,6 Seasons,Netflix,7+,6.6/10,69/100,"This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex."
Private Practice,2007,60 min,6 Seasons,Netflix,16+,6.7/10,69/100,"At Oceanside Wellness Center, Dr. Addison Montgomery deals with competing personalities in the new world of holistic medicine."
Beauty and the Beast,2012,60 min,4 Seasons,Outra,7+,7.0/10,69/100,"Detective Catherine Chandler (Kristin Kreuk), shaken to the core over the fact that everything she thought she knew about her life has been a lie, is determined to get answers to the secrets that have been revealed about her family. Cat must also try to navigate her evolving relationship with handsome doctor Vincent Keller (Jay Ryan), who struggles with becoming a terrifying beast when he is enraged, unable to control his super-strength and heightened senses. Cat and Vincent continue to grapple with the desire to be a normal couple while trying to keep a low profile in order to stay one step ahead of the mysterious organization known as Muirfield, now on the hunt for both of them."
Daybreak,2019,60 min,1 Season,Netflix,18+,6.7/10,69/100,"Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs."
Easy,2016,30 min,3 Seasons,Netflix,18+,6.9/10,69/100,"This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture."
Behind Her Eyes,2021,298 min,1 Season,Netflix,18+,7.2/10,68/100,A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.
Collateral,2018,230 min,1 Season,Netflix,18+,6.8/10,68/100,"Investigating the murder of a pizza delivery man, a London detective uncovers a tangled conspiracy involving drug dealers, smugglers and spies."
Knightfall,2017,60 min,2 Seasons,Netflix,16+,6.8/10,68/100,"Fifteen years after the Crusades ended in defeat, a veteran knight becomes master of his order's Paris temple and discovers a shocking secret."
The Confession Killer,2019,240 min,1 Season,Netflix,16+,7.4/10,68/100,Henry Lee Lucas rose to infamy when he confessed to hundreds of unsolved murders. This docuseries examines the truth – and horrifying consequences.
Sophie: A Murder In West Cork,2021,,,Outra,18+,6.9/10,68/100,
Call My Agent!,2015,52 min,4 Seasons,Netflix,16+,8.3/10,68/100,"At a top Paris talent firm, agents scramble to keep their star clients happy – and their business afloat – after an unexpected crisis."
My Little Pony: Friendship Is Magic,2010,22 min,8 Seasons,Netflix,7+,7.6/10,68/100,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship."
Leah Remini: Scientology and the Aftermath,2016,47 min,3 Seasons,Netflix,16+,9.0/10,68/100,Former Scientology members share detailed accounts of alleged abuse and harassment by the Church in this docuseries from actress Leah Remini.
Containment,2016,60 min,1 Season,Netflix,16+,7.2/10,68/100,"When a ferocious contagion sweeps through Atlanta, authorities impose a precarious quarantine on the city while scrambling to find a cure."
Z Nation,2014,44 min,5 Seasons,Netflix,16+,6.7/10,68/100,"A team embarks on a perilous cross-country mission to transport the one man who survived a deadly zombie virus, hoping he holds the key to a vaccine."
Emily in Paris,2020,30 min,1 Season,Netflix,18+,7.0/10,68/100,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance."
Victorious,2010,30 min,3 Seasons,Netflix,7+,6.9/10,68/100,"When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens."
Scream: The TV Series,2015,45 min,3 Seasons,Outra,16+,7.1/10,68/100,"After a cyberbullying incident results in a brutal murder, the shocking violence stirs up memories of a killing spree from the past that has haunted some, intrigued others and maybe just inspired a new killer. A group of teens - with two old friends struggling to reconnect at its heart - become lovers, enemies, suspects, targets and victims of an assassin who's out for blood."
Akame ga Kill!,2014,24 min,1 Season,Netflix,18+,7.8/10,68/100,"Tatsumi sets out on a journey to help his poor village. When he's rescued by a band of assassins, he joins their fight against the corrupt government."
Warrior Nun,2020,,1 Season,Netflix,18+,6.9/10,68/100,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns."
Bad Blood,2017,47 min,2 Seasons,Netflix,18+,7.5/10,68/100,"This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades."
